surveyDate,GACDINA,NOCDINA,SHCDINA,UOCDINA,DTCDINA,IVCDINA,PPCDINA,PRCDINA,NECDINA,AWCDINA,GAFDINA,NOFDINA,SHFDINA,UOFDINA,DTFDINA,IVFDINA,PPFDINA,PRFDINA,NEFDINA,AWFDINA,CEFDINA,TSFDINA
2008-11-30,-34.9,-33.7,-27.7,-24.1,-4.8,-26.5,20.5,6.0,-28.9,-25.3,14.5,20.5,16.9,-1.2,1.2,-6.0,25.3,3.6,-7.2,-6.0,-10.8,-8.4
2008-12-31,-40.4,-41.5,-31.9,-27.7,-9.6,-17.0,-7.4,-11.7,-23.4,-26.6,28.7,27.7,31.9,5.3,-7.4,-11.7,3.2,3.2,3.2,-1.1,-10.6,-12.8
2009-01-31,-21.6,-20.5,-14.8,-26.1,-18.2,-19.3,-18.2,-3.4,-26.1,-23.9,10.2,9.1,11.4,-6.8,-14.8,-11.4,4.5,5.7,-1.1,-3.4,-11.4,-15.9
2009-02-28,-28.7,-19.5,-6.9,-24.1,-12.6,-8.0,-13.8,-20.7,-39.1,-31.0,5.7,11.5,17.2,-11.5,-10.3,-13.8,-2.3,-9.2,-16.1,-13.8,-11.5,-19.5
2009-03-31,-22.5,-31.5,-10.1,-23.6,-12.4,-27.0,-14.6,-23.6,-38.2,-23.6,11.2,11.2,12.4,-10.1,-9.0,-20.2,0.0,-14.6,-23.6,-5.6,-19.1,-23.6
2009-04-30,-9.0,-2.2,-2.2,-18.0,-5.6,-36.0,-14.6,-18.0,-28.1,-28.1,34.8,34.8,33.7,7.9,-4.5,-21.3,7.9,-2.2,-4.5,9.0,-1.1,-4.5
2009-05-31,3.4,-2.3,5.7,-10.2,-13.6,-21.6,-11.4,-27.3,-23.9,-22.7,39.8,40.9,37.5,9.1,-5.7,-10.2,9.1,-2.3,4.5,4.5,-1.1,-4.5
2009-06-30,-8.0,-6.9,4.6,-10.3,-10.3,-25.3,-5.7,-12.6,-21.8,-21.8,37.9,32.2,35.6,1.1,-1.1,-8.0,10.3,-5.7,10.3,6.9,11.5,1.1
2009-07-31,-13.5,-7.3,-4.2,-12.5,-14.6,-36.5,10.4,-8.3,-20.8,-19.8,30.2,28.1,30.2,0.0,-5.2,-13.5,26.0,-5.2,4.2,4.2,2.1,1.0
2009-08-31,12.8,17.0,19.1,-9.6,-10.6,-22.3,13.8,-12.8,-7.4,-6.4,42.6,40.4,35.1,6.4,-10.6,-6.4,31.9,5.3,8.5,14.9,18.1,14.9
2009-09-30,23.8,25.0,20.2,-4.8,1.2,-25.0,20.2,-3.6,-8.3,6.0,44.0,33.3,32.1,6.0,-1.2,-17.9,36.9,9.5,3.6,15.5,14.3,10.7
2009-10-31,27.3,26.0,29.9,2.6,3.9,-18.2,19.5,-5.2,10.4,20.8,51.9,46.8,48.1,10.4,-6.5,-5.2,24.7,10.4,16.9,20.8,18.2,13.0
2009-11-30,13.2,5.3,2.6,-2.6,-2.6,-17.1,10.5,-2.6,1.3,5.3,57.9,53.9,50.0,15.8,-3.9,7.9,48.7,27.6,28.9,18.4,21.1,14.5
2009-12-31,-7.9,-11.8,-13.2,-21.1,-2.6,-18.4,19.7,-9.2,-5.3,-5.3,52.6,48.7,43.4,11.8,0.0,7.9,40.8,22.4,21.1,19.7,30.3,13.2
2010-01-31,20.0,22.7,20.0,2.7,6.7,-17.3,32.0,2.7,4.0,5.3,56.0,52.0,54.7,22.7,-1.3,5.3,54.7,20.0,26.7,18.7,33.3,13.3
2010-02-28,26.4,15.3,18.1,2.8,-6.9,0.0,31.9,4.2,5.6,8.3,52.8,55.6,55.6,11.1,4.2,12.5,50.0,20.8,27.8,26.4,27.8,12.5
2010-03-31,33.3,38.3,40.7,4.9,2.5,4.9,29.6,8.6,12.3,12.3,54.3,51.9,43.2,16.0,1.2,7.4,42.0,17.3,17.3,17.3,27.2,13.6
2010-04-30,36.7,30.4,31.6,-3.8,2.5,11.4,41.8,6.3,20.3,13.9,55.7,46.8,41.8,0.0,-7.6,3.8,43.0,15.2,29.1,-1.3,31.6,20.3
2010-05-31,27.6,19.7,15.8,-7.9,-6.6,1.3,44.7,5.3,22.4,0.0,42.1,39.5,35.5,18.4,-5.3,-1.3,46.1,23.7,28.9,5.3,38.2,21.1
2010-06-30,21.0,18.5,23.5,-1.2,9.9,-1.2,27.2,4.9,12.3,8.6,40.7,38.3,37.0,6.2,0.0,-1.2,42.0,28.4,28.4,6.2,28.4,13.6
2010-07-31,-7.9,-1.6,-6.3,-15.9,-7.9,6.3,25.4,-1.6,7.9,-9.5,41.3,34.9,31.7,4.8,-3.2,0.0,41.3,17.5,14.3,-1.6,14.3,4.8
2010-08-31,10.0,4.3,-2.9,-10.0,0.0,2.9,20.0,-2.9,14.3,7.1,35.7,31.4,25.7,4.3,-5.7,2.9,30.0,22.9,20.0,7.1,22.9,8.6
2010-09-30,11.9,11.9,13.4,-6.0,-11.9,1.5,22.4,1.5,14.9,7.5,31.3,25.4,28.4,-4.5,-6.0,3.0,35.8,14.9,16.4,6.0,25.4,14.9
2010-10-31,10.0,8.3,16.7,-1.7,-6.7,-11.7,30.0,8.3,21.7,3.3,40.0,31.7,38.3,5.0,5.0,10.0,40.0,20.0,26.7,11.7,25.0,13.3
2010-11-30,-19.5,-35.1,-16.9,-24.7,-9.1,0.0,22.1,-2.6,9.1,-13.0,54.5,53.2,45.5,13.0,-2.6,13.0,40.3,35.1,28.6,13.0,23.4,10.4
2010-12-31,-2.3,-14.8,-13.6,-18.2,-6.8,-15.9,28.4,3.4,-3.4,-14.8,48.9,53.4,53.4,14.8,4.5,-1.1,58.0,38.6,29.5,17.0,22.7,19.3
2011-01-31,14.7,14.7,25.3,-11.6,-6.3,4.2,35.8,15.8,8.4,2.1,58.9,53.7,52.6,9.5,8.4,14.7,60.0,42.1,24.2,15.8,34.7,22.1
2011-02-28,16.9,13.3,12.0,-4.8,0.0,9.6,45.8,16.9,3.6,6.0,49.4,44.6,44.6,4.8,13.3,13.3,55.4,27.7,24.1,18.1,27.7,18.1
2011-03-31,24.7,19.5,18.2,2.6,-1.3,3.9,53.2,20.8,9.1,15.6,49.4,42.9,40.3,6.5,-5.2,7.8,71.4,36.4,23.4,10.4,22.1,6.5
2011-04-30,28.2,24.4,28.2,2.6,-1.3,-1.3,57.7,26.9,23.1,10.3,47.4,43.6,37.2,7.7,-2.6,14.1,56.4,38.5,32.1,6.4,29.5,17.9
2011-05-31,17.2,21.5,28.0,9.7,2.2,10.8,69.9,28.0,24.7,23.7,52.7,47.3,41.9,19.4,6.5,4.3,68.8,35.5,20.4,12.9,30.1,29.0
2011-06-30,-4.1,-3.1,0.0,0.0,-3.1,1.0,56.1,11.2,10.2,-2.0,22.4,15.3,17.3,-9.2,2.0,-9.2,55.1,19.4,6.1,-2.0,26.5,14.3
2011-07-31,-17.8,-15.6,-10.0,-12.2,1.1,-5.6,43.3,5.6,1.1,-15.6,32.2,25.6,30.0,5.6,6.7,1.1,51.1,30.0,17.8,2.2,22.2,12.2
2011-08-31,-4.3,-2.2,8.7,-15.2,0.0,-7.6,28.3,2.2,3.3,-2.2,8.7,6.5,7.6,-6.5,-5.4,7.6,42.4,15.2,6.5,-4.3,8.7,2.2
2011-09-30,-3.3,-1.1,-2.2,-7.6,-1.1,-12.0,32.6,8.7,-5.4,-2.2,13.0,13.0,13.0,-6.5,-7.6,-2.2,53.3,22.8,0.0,-6.5,9.8,7.6
2011-10-31,-10.1,-1.1,4.5,-4.5,-1.1,-9.0,22.5,4.5,3.4,-4.5,6.7,12.4,18.0,1.1,-6.7,-15.7,40.4,18.0,6.7,-2.2,7.9,1.1
2011-11-30,-8.5,-13.4,0.0,-7.3,0.0,-12.2,18.3,6.1,-3.7,2.4,39.0,35.4,36.6,6.1,1.2,2.4,36.6,25.6,14.6,8.5,25.6,12.2
2011-12-31,-3.5,-11.6,0.0,-15.1,0.0,-3.5,24.4,3.5,2.3,-2.3,52.3,54.7,51.2,8.1,2.3,9.3,57.0,36.0,24.4,22.1,23.3,15.1
2012-01-31,16.5,16.5,25.3,-5.5,-3.3,6.6,26.4,23.1,12.1,6.6,58.2,53.8,52.7,5.5,6.6,11.0,53.8,30.8,28.6,17.6,25.3,19.8
2012-02-29,21.2,10.6,22.4,-7.1,1.2,-4.7,25.9,15.3,11.8,7.1,51.8,44.7,49.4,4.7,2.4,10.6,62.4,34.1,29.4,18.8,31.8,18.8
2012-03-31,28.4,17.3,29.6,-1.2,7.4,0.0,50.6,13.6,13.6,18.5,48.1,42.0,43.2,8.6,4.9,4.9,66.7,32.1,32.1,21.0,32.1,24.7
2012-04-30,18.1,14.5,14.5,-7.2,4.8,1.2,45.8,19.3,19.3,6.0,47.0,45.8,44.6,9.6,1.2,4.8,50.6,22.9,27.7,10.8,31.3,18.1
2012-05-31,25.3,18.1,28.9,-4.8,0.0,4.8,37.3,12.0,20.5,12.0,32.5,30.1,25.3,0.0,2.4,-10.8,57.8,22.9,12.0,8.4,19.3,12.0
2012-06-30,3.1,1.0,10.3,-5.2,0.0,-8.2,19.6,1.0,12.4,3.1,16.5,15.5,12.4,-8.2,-1.0,-15.5,34.0,17.5,16.5,2.1,21.6,12.4
2012-07-31,-9.9,-13.6,-2.5,-13.6,-1.2,0.0,7.4,3.7,18.5,0.0,17.3,13.6,14.8,-6.2,-12.3,-9.9,35.8,16.0,6.2,-4.9,19.8,18.5
2012-08-31,-3.5,-2.4,8.2,-10.6,-7.1,-8.2,16.5,2.4,16.5,3.5,7.1,2.4,8.2,-10.6,-10.6,-9.4,31.8,14.1,3.5,-8.2,12.9,5.9
2012-09-30,-6.4,-7.4,8.5,-14.9,2.1,0.0,19.1,5.3,4.3,-1.1,18.1,17.0,12.8,-14.9,-7.4,-4.3,40.4,23.4,8.5,2.1,12.8,7.4
